Year,Average expenditure,Percent change
2004,$842.65,1.5%
2005,831.58,-1.3
2006,817.99,-1.6
2007,798.54,-2.4
2008,790.66,-1.0
2009,786.65,-0.5
2010,791.85,0.7
2011,797.73,0.7
2012,814.63,2.1
2013,841.23,3.3
