Year,Average expenditure,Percent change
2006,$817.99,-1.6%
2007,798.54,-2.4
2008,790.66,-1.0
2009,786.65,-0.5
2010,789.29,0.3
2011,795.01,0.7
2012,812.44,2.2
2013,838.56,3.2
2014,865.34,3.2
2015,889.01,2.7
