Year,Average expenditure,Percent change
2011,$795.01,0.7%
2012,812.40,2.2
2013,841.06,3.5
2014,869.47,3.4
2015,896.66,3.1
2016,945.22,5.4
2017,1008.53,6.7
2018,1059.24,5.0
2019,1071.41,1.1
2020,1047.11,-2.3
