Year,Average expenditure,Percent change
2005,$831.58,-1.3%
2006,817.99,-1.6
2007,798.54,-2.4
2008,790.66,-1.0
2009,786.65,-0.5
2010,789.29,0.3
2011,795.00,0.7
2012,812.19,2.2
2013,838.49,3.2
2014,866.31,3.3
