Year,Average expenditure,Percent change,Year.1,Average expenditure.1,Percent change.1
2000,$690,0.7%,2005,$832,-1.3%
2001,726,5.2,2006,817,-1.8
2002,786,8.3,2007,797,-2.4
2003,830,5.6,2008,789,-1.0
2004,843,1.6,2009,785,-0.5
